hour,temperature,demand
0,13.74,95.55
1,12.7,79.19
2,11.91,81.86
3,11.41,75.23
4,11.24,98.04
5,11.41,78.95
6,11.91,134.16
7,12.7,125.97
8,13.74,124.55
9,14.94,127.59
10,16.24,112.82
11,17.53,101.87
12,18.74,104.99
13,19.77,109.67
14,20.57,99.55
15,21.07,108.81
16,21.24,106.53
17,21.07,145.74
18,20.57,181.39
19,19.77,153.25
20,18.74,158.96
21,17.53,180.07
22,16.24,176.95
23,14.94,102.36
0,8.38,76.17
1,7.34,83.19
2,6.55,103.48
3,6.05,98.73
4,5.88,94.5
5,6.05,113.16
6,6.55,159.74
7,7.34,142.17
8,8.38,149.58
9,9.59,143.01
10,10.88,122.92
11,12.17,113.55
12,13.38,112.98
13,14.42,112.07
14,15.21,118.89
15,15.71,109.1
16,15.88,105.85
17,15.71,152.93
18,15.21,143.85
19,14.42,172.22
20,13.38,179.42
21,12.17,173.67
22,10.88,168.16
23,9.59,116.53
0,30.39,118.47
1,29.36,109.71
2,28.56,85.67
3,28.06,105.9
4,27.89,99.27
5,28.06,82.04
6,28.56,149.61
7,29.36,145.4
8,30.39,152.79
9,31.6,156.58
10,32.89,147.66
11,34.19,160.32
12,35.39,168.98
13,36.43,176.91
14,37.22,161.4
15,37.72,174.1
16,37.89,171.75
17,37.72,233.82
18,37.22,224.61
19,36.43,218.7
20,35.39,227.55
21,34.19,211.41
22,32.89,222.26
23,31.6,138.78
0,18.57,60.24
1,17.54,70.21
2,16.74,69.76
3,16.24,64.87
4,16.07,78.61
5,16.24,59.12
6,16.74,136.92
7,17.54,121.95
8,18.57,125.04
9,19.78,135.98
10,21.07,119.08
11,22.37,116.32
12,23.57,94.2
13,24.61,111.19
14,25.4,116.2
15,25.9,112.31
16,26.07,109.46
17,25.9,159.48
18,25.4,156.14
19,24.61,164.67
20,23.57,173.23
21,22.37,152.34
22,21.07,163.61
23,19.78,119.08
0,22.23,75.82
1,21.19,64.19
2,20.4,66.93
3,19.9,88.47
4,19.73,79.0
5,19.9,84.57
6,20.4,132.98
7,21.19,121.33
8,22.23,115.13
9,23.43,141.22
10,24.73,113.19
11,26.02,109.43
12,27.23,128.55
13,28.26,132.04
14,29.06,130.88
15,29.56,130.26
16,29.73,131.83
17,29.56,196.93
18,29.06,188.78
19,28.26,187.17
20,27.23,192.25
21,26.02,176.23
22,24.73,177.64
23,23.43,110.66
0,11.31,96.88
1,10.27,102.87
2,9.48,99.09
3,8.98,97.6
4,8.81,100.8
5,8.98,89.09
6,9.48,144.9
7,10.27,130.62
8,11.31,131.45
9,12.51,141.06
10,13.81,99.57
11,15.1,106.16
12,16.31,114.3
13,17.34,94.93
14,18.14,112.72
15,18.64,118.78
16,18.81,110.97
17,18.64,161.9
18,18.14,171.63
19,17.34,144.01
20,16.31,146.9
21,15.1,163.51
22,13.81,159.86
23,12.51,110.12
0,22.31,79.01
1,21.27,77.75
2,20.48,73.77
3,19.98,56.89
4,19.81,65.7
5,19.98,78.1
6,20.48,105.75
7,21.27,118.34
8,22.31,136.84
9,23.51,125.55
10,24.81,107.89
11,26.1,106.42
12,27.31,120.62
13,28.34,121.75
14,29.14,132.73
15,29.64,137.67
16,29.81,142.99
17,29.64,183.05
18,29.14,188.36
19,28.34,200.16
20,27.31,191.25
21,26.1,155.07
22,24.81,156.62
23,23.51,106.02
0,23.4,80.68
1,22.37,87.01
2,21.57,71.22
3,21.07,80.65
4,20.9,80.78
5,21.07,77.19
6,21.57,134.58
7,22.37,132.89
8,23.4,122.12
9,24.61,141.18
10,25.9,108.57
11,27.2,116.51
12,28.4,130.94
13,29.44,135.59
14,30.23,152.6
15,30.73,143.58
16,30.9,142.88
17,30.73,198.11
18,30.23,199.03
19,29.44,190.85
20,28.4,180.41
21,27.2,169.61
22,25.9,162.32
23,24.61,108.31
0,5.02,108.6
1,3.99,96.74
2,3.19,117.78
3,2.69,114.27
4,2.52,122.26
5,2.69,119.17
6,3.19,170.88
7,3.99,154.46
8,5.02,159.69
9,6.23,146.0
10,7.52,125.83
11,8.82,125.6
12,10.02,123.14
13,11.06,118.12
14,11.85,123.59
15,12.35,109.11
16,12.52,115.86
17,12.35,179.31
18,11.85,191.08
19,11.06,175.52
20,10.02,202.91
21,8.82,172.83
22,7.52,167.45
23,6.23,132.44
0,4.83,110.17
